package_code,service_code,quantity,is_mandatory,display_order

SENIOR-BASIC,LAB-CBC,1,true,10
SENIOR-BASIC,LAB-FBS,1,true,20
SENIOR-BASIC,LAB-LFT,1,true,30
SENIOR-BASIC,LAB-KFT,1,true,40
SENIOR-BASIC,LAB-LIPID,1,true,50
SENIOR-BASIC,LAB-TSH,1,true,60
SENIOR-BASIC,LAB-URINE-RM,1,true,70

SENIOR-ADVANCED,LAB-CBC,1,true,10
SENIOR-ADVANCED,LAB-HBA1C,1,true,20
SENIOR-ADVANCED,LAB-LFT,1,true,30
SENIOR-ADVANCED,LAB-KFT,1,true,40
SENIOR-ADVANCED,LAB-LIPID,1,true,50
SENIOR-ADVANCED,LAB-TSH,1,true,60
SENIOR-ADVANCED,LAB-VITD,1,true,70
SENIOR-ADVANCED,LAB-VITB12,1,true,80
SENIOR-ADVANCED,LAB-CALCIUM,1,true,90
SENIOR-ADVANCED,LAB-FERRITIN,1,true,100
SENIOR-ADVANCED,LAB-CRP,1,true,110
SENIOR-ADVANCED,LAB-URINE-RM,1,true,120

SENIOR-CARDIAC,LAB-LIPID,1,true,10
SENIOR-CARDIAC,LAB-HSCRP,1,true,20
SENIOR-CARDIAC,LAB-HOMOCYSTEINE,1,true,30
SENIOR-CARDIAC,CARDIO-ECG,1,true,40
SENIOR-CARDIAC,CARDIO-2DECHO,1,true,50

SENIOR-DIABETIC,LAB-FBS,1,true,10
SENIOR-DIABETIC,LAB-HBA1C,1,true,20
SENIOR-DIABETIC,LAB-KFT,1,true,30
SENIOR-DIABETIC,LAB-MICROALBUMIN,1,true,40
SENIOR-DIABETIC,LAB-ACR,1,true,50
SENIOR-DIABETIC,LAB-LIPID,1,true,60

SENIOR-BONE-JOINT,LAB-VITD,1,true,10
SENIOR-BONE-JOINT,LAB-CALCIUM,1,true,20
SENIOR-BONE-JOINT,LAB-PHOSPHORUS,1,true,30
SENIOR-BONE-JOINT,RAD-BMD,1,true,40

SENIOR-RENAL,LAB-KFT,1,true,10
SENIOR-RENAL,LAB-MICROALBUMIN,1,true,20
SENIOR-RENAL,LAB-ACR,1,true,30
SENIOR-RENAL,LAB-URINE-RM,1,true,40

SENIOR-EXECUTIVE,LAB-CBC,1,true,10
SENIOR-EXECUTIVE,LAB-HBA1C,1,true,20
SENIOR-EXECUTIVE,LAB-LFT,1,true,30
SENIOR-EXECUTIVE,LAB-KFT,1,true,40
SENIOR-EXECUTIVE,LAB-LIPID,1,true,50
SENIOR-EXECUTIVE,LAB-TSH,1,true,60
SENIOR-EXECUTIVE,LAB-VITD,1,true,70
SENIOR-EXECUTIVE,LAB-VITB12,1,true,80
SENIOR-EXECUTIVE,LAB-CALCIUM,1,true,90
SENIOR-EXECUTIVE,LAB-FERRITIN,1,true,100
SENIOR-EXECUTIVE,LAB-CRP,1,true,110
SENIOR-EXECUTIVE,LAB-PSA,1,true,120
SENIOR-EXECUTIVE,CARDIO-ECG,1,true,130
SENIOR-EXECUTIVE,RAD-CHEST-PA,1,true,140
